Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status,tokens,stopwords,stemmed_tokens
arsyzilza,19 - 24,"Normal, Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Moisturizer yg teksturnya ringan bgt!!! Kulit aku oily di bagian T zone dan kering daerah sekitar mulut trs pake moist 5x ceramide di wajah jd lembut, lembab ringan bgt di kulit cocok untuk mengurangi kemerahan di wajah karena tekstur nya yang lembut di aplikasiin ke wajah",Asli,"['Moisturizer', 'yg', 'teksturnya', 'ringan', 'bgt', '!', '!', '!', 'Kulit', 'aku', 'oily', 'di', 'bagian', 'T', 'zone', 'dan', 'kering', 'daerah', 'sekitar', 'mulut', 'trs', 'pake', 'moist', '5x', 'ceramide', 'di', 'wajah', 'jd', 'lembut', ',', 'lembab', 'ringan', 'bgt', 'di', 'kulit', 'cocok', 'untuk', 'mengurangi', 'kemerahan', 'di', 'wajah', 'karena', 'tekstur', 'nya', 'yang', 'lembut', 'di', 'aplikasiin', 'ke', 'wajah']","['Moisturizer', 'yg', 'teksturnya', 'ringan', 'bgt', '!', '!', '!', 'Kulit', 'oily', 'T', 'zone', 'kering', 'daerah', 'mulut', 'trs', 'pake', 'moist', '5x', 'ceramide', 'wajah', 'jd', 'lembut', ',', 'lembab', 'ringan', 'bgt', 'kulit', 'cocok', 'mengurangi', 'kemerahan', 'wajah', 'tekstur', 'nya', 'lembut', 'aplikasiin', 'wajah']","['moisturizer', 'yg', 'tekstur', 'ringan', 'bgt', '', '', '', 'kulit', 'oily', 't', 'zone', 'kering', 'daerah', 'mulut', 'trs', 'pake', 'moist', '5x', 'ceramide', 'wajah', 'jd', 'lembut', '', 'lembab', 'ringan', 'bgt', 'kulit', 'cocok', 'kurang', 'merah', 'wajah', 'tekstur', 'nya', 'lembut', 'aplikasiin', 'wajah']"
rinasusila13,25 - 29,"Combination, Medium Light, Cool",1 month - 3 months,Shopee,4,Ya,"aku beli ukuran jar besar, untuk kulitku cocok bahkan hasilnya bagus glowing, tone up skin juga diaku, tapi menurutku terlalu over price dan kaya gak asing gt sm teksurnya kaya mirip2 sama brand lain yang pernah kucoba dan harganya jauh lebih murce, dan entah kenapa aku yg salah simpan apa gmna menurutku produk ini cepet habis karena menguap gak sih? drop opini kalian dong",Asli,"['aku', 'beli', 'ukuran', 'jar', 'besar', ',', 'untuk', 'kulitku', 'cocok', 'bahkan', 'hasilnya', 'bagus', 'glowing', ',', 'tone', 'up', 'skin', 'juga', 'diaku', ',', 'tapi', 'menurutku', 'terlalu', 'over', 'price', 'dan', 'kaya', 'gak', 'asing', 'gt', 'sm', 'teksurnya', 'kaya', 'mirip2', 'sama', 'brand', 'lain', 'yang', 'pernah', 'kucoba', 'dan', 'harganya', 'jauh', 'lebih', 'murce', ',', 'dan', 'entah', 'kenapa', 'aku', 'yg', 'salah', 'simpan', 'apa', 'gmna', 'menurutku', 'produk', 'ini', 'cepet', 'habis', 'karena', 'menguap', 'gak', 'sih', '?', 'drop', 'opini', 'kalian', 'dong']","['beli', 'ukuran', 'jar', ',', 'kulitku', 'cocok', 'hasilnya', 'bagus', 'glowing', ',', 'tone', 'up', 'skin', 'diaku', ',', 'menurutku', 'over', 'price', 'kaya', 'gak', 'asing', 'gt', 'sm', 'teksurnya', 'kaya', 'mirip2', 'brand', 'kucoba', 'harganya', 'murce', ',', 'yg', 'salah', 'simpan', 'gmna', 'menurutku', 'produk', 'cepet', 'habis', 'menguap', 'gak', 'sih', '?', 'drop', 'opini']","['beli', 'ukur', 'jar', '', 'kulit', 'cocok', 'hasil', 'bagus', 'glowing', '', 'tone', 'up', 'skin', 'dia', '', 'turut', 'over', 'price', 'kaya', 'gak', 'asing', 'gt', 'sm', 'teksurnya', 'kaya', 'mirip2', 'brand', 'coba', 'harga', 'murce', '', 'yg', 'salah', 'simpan', 'gmna', 'turut', 'produk', 'cepet', 'habis', 'uap', 'gak', 'sih', '', 'drop', 'opini']"
kanayarubi,45 and Above,"Combination, Medium, Neutral",1 month - 3 months,Shopee,4,Ya,"sekali nyobain wihhh enak. jar kedua, hmm B aja. jar ketiga, kok ga ngaruh. kayaknya emang gitu ya. emang pertama make dijidat ada beruntusan jadi kalem. dibilang cerah juga ga, cuma adem sama cepet nyerep. ternyata isinya dikit, makenya paling sebulan lebih lah, makanya boros banget",Asli,"['sekali', 'nyobain', 'wihhh', 'enak', '.', 'jar', 'kedua', ',', 'hmm', 'B', 'aja', '.', 'jar', 'ketiga', ',', 'kok', 'ga', 'ngaruh', '.', 'kayaknya', 'emang', 'gitu', 'ya', '.', 'emang', 'pertama', 'make', 'dijidat', 'ada', 'beruntusan', 'jadi', 'kalem', '.', 'dibilang', 'cerah', 'juga', 'ga', ',', 'cuma', 'adem', 'sama', 'cepet', 'nyerep', '.', 'ternyata', 'isinya', 'dikit', ',', 'makenya', 'paling', 'sebulan', 'lebih', 'lah', ',', 'makanya', 'boros', 'banget']","['nyobain', 'wihhh', 'enak', '.', 'jar', ',', 'hmm', 'B', 'aja', '.', 'jar', 'ketiga', ',', 'ga', 'ngaruh', '.', 'kayaknya', 'emang', 'gitu', 'ya', '.', 'emang', 'make', 'dijidat', 'beruntusan', 'kalem', '.', 'dibilang', 'cerah', 'ga', ',', 'adem', 'cepet', 'nyerep', '.', 'isinya', 'dikit', ',', 'makenya', 'sebulan', ',', 'boros', 'banget']","['nyobain', 'wihhh', 'enak', '', 'jar', '', 'hmm', 'b', 'aja', '', 'jar', 'tiga', '', 'ga', 'ngaruh', '', 'kayak', 'emang', 'gitu', 'ya', '', 'emang', 'make', 'jidat', 'beruntus', 'kalem', '', 'bilang', 'cerah', 'ga', '', 'adem', 'cepet', 'nyerep', '', 'isi', 'dikit', '', 'makenya', 'bulan', '', 'boros', 'banget']"
alzirains_,18 and Under,"Normal, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Produk terbagus sih, seminggu bikin kulit mulus banget. Dari awal viral sampe sekarang ga pernah berubah, sebagus itu! Apalagi kalo pakenya serangkaian langsung, kulit kaya habis treatment mulus licin",Palsu,"['Produk', 'terbagus', 'sih', ',', 'seminggu', 'bikin', 'kulit', 'mulus', 'banget', '.', 'Dari', 'awal', 'viral', 'sampe', 'sekarang', 'ga', 'pernah', 'berubah', ',', 'sebagus', 'itu', '!', 'Apalagi', 'kalo', 'pakenya', 'serangkaian', 'langsung', ',', 'kulit', 'kaya', 'habis', 'treatment', 'mulus', 'licin']","['Produk', 'terbagus', 'sih', ',', 'seminggu', 'bikin', 'kulit', 'mulus', 'banget', '.', 'viral', 'sampe', 'ga', 'berubah', ',', 'sebagus', '!', 'kalo', 'pakenya', 'serangkaian', 'langsung', ',', 'kulit', 'kaya', 'habis', 'treatment', 'mulus', 'licin']","['produk', 'bagus', 'sih', '', 'minggu', 'bikin', 'kulit', 'mulus', 'banget', '', 'viral', 'sampe', 'ga', 'ubah', '', 'bagus', '', 'kalo', 'pakenya', 'rangkai', 'langsung', '', 'kulit', 'kaya', 'habis', 'treatment', 'mulus', 'licin']"
lorenzaayu_10,25 - 29,"Combination, Medium Light, Neutral",3 months - 6 months,Lazada,5,Ya,"Sangat sangat melembabkan, meredakan kemerahan di wajah dan sangat ringan, dan pastinya jangan sampai skintific menghilangkan prodak ini karena sangat sangat menbatu mengatasi masalah masalah pada wajah ini love you skintific muah muah",Palsu,"['Sangat', 'sangat', 'melembabkan', ',', 'meredakan', 'kemerahan', 'di', 'wajah', 'dan', 'sangat', 'ringan', ',', 'dan', 'pastinya', 'jangan', 'sampai', 'skintific', 'menghilangkan', 'prodak', 'ini', 'karena', 'sangat', 'sangat', 'menbatu', 'mengatasi', 'masalah', 'masalah', 'pada', 'wajah', 'ini', 'love', 'you', 'skintific', 'muah', 'muah']","['melembabkan', ',', 'meredakan', 'kemerahan', 'wajah', 'ringan', ',', 'pastinya', 'skintific', 'menghilangkan', 'prodak', 'menbatu', 'mengatasi', 'wajah', 'love', 'you', 'skintific', 'muah', 'muah']","['melembabkan', '', 'reda', 'merah', 'wajah', 'ringan', '', 'pasti', 'skintific', 'hilang', 'prodak', 'menbatu', 'atas', 'wajah', 'love', 'you', 'skintific', 'muah', 'muah']"
Salsabilaqa06,19 - 24,"Combination, Medium Light, Cool",More than 1 year,Tiktok Shop,5,Ya,"Siapa sih yg gak tau moisturizer skintific ini yg sempet viral bgt, alhamdulillah pas nyobain ini emang cocok ya dan ketagihan samapi udh habis beberapa jar, dikulit aku emang ampuh sih klo wajah lagi rewel, pakai malem nya pagi udah membaik lg kulitnya",Asli,"['Siapa', 'sih', 'yg', 'gak', 'tau', 'moisturizer', 'skintific', 'ini', 'yg', 'sempet', 'viral', 'bgt', ',', 'alhamdulillah', 'pas', 'nyobain', 'ini', 'emang', 'cocok', 'ya', 'dan', 'ketagihan', 'samapi', 'udh', 'habis', 'beberapa', 'jar', ',', 'dikulit', 'aku', 'emang', 'ampuh', 'sih', 'klo', 'wajah', 'lagi', 'rewel', ',', 'pakai', 'malem', 'nya', 'pagi', 'udah', 'membaik', 'lg', 'kulitnya']","['sih', 'yg', 'gak', 'tau', 'moisturizer', 'skintific', 'yg', 'sempet', 'viral', 'bgt', ',', 'alhamdulillah', 'pas', 'nyobain', 'emang', 'cocok', 'ya', 'ketagihan', 'samapi', 'udh', 'habis', 'jar', ',', 'dikulit', 'emang', 'ampuh', 'sih', 'klo', 'wajah', 'rewel', ',', 'pakai', 'malem', 'nya', 'pagi', 'udah', 'membaik', 'lg', 'kulitnya']","['sih', 'yg', 'gak', 'tau', 'moisturizer', 'skintific', 'yg', 'sempet', 'viral', 'bgt', '', 'alhamdulillah', 'pas', 'nyobain', 'emang', 'cocok', 'ya', 'tagih', 'samapi', 'udh', 'habis', 'jar', '', 'kulit', 'emang', 'ampuh', 'sih', 'klo', 'wajah', 'rewel', '', 'pakai', 'malem', 'nya', 'pagi', 'udah', 'baik', 'lg', 'kulit']"
mipamaratus,25 - 29,"Dry, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,Sejauh pemakain ku yang kurang lebih 3 bulanan ini sangat puas banget sih pake skintific ini. Kulit aku bener bener terhidrasi banget. Pake ini doang udah kayak kulit sehat banget. Memang tidak bisa dipungkiri ini produk terlalu bagussss,Asli,"['Sejauh', 'pemakain', 'ku', 'yang', 'kurang', 'lebih', '3', 'bulanan', 'ini', 'sangat', 'puas', 'banget', 'sih', 'pake', 'skintific', 'ini', '.', 'Kulit', 'aku', 'bener', 'bener', 'terhidrasi', 'banget', '.', 'Pake', 'ini', 'doang', 'udah', 'kayak', 'kulit', 'sehat', 'banget', '.', 'Memang', 'tidak', 'bisa', 'dipungkiri', 'ini', 'produk', 'terlalu', 'bagussss']","['pemakain', 'ku', '3', 'bulanan', 'puas', 'banget', 'sih', 'pake', 'skintific', '.', 'Kulit', 'bener', 'bener', 'terhidrasi', 'banget', '.', 'Pake', 'doang', 'udah', 'kayak', 'kulit', 'sehat', 'banget', '.', 'dipungkiri', 'produk', 'bagussss']","['pemakain', 'ku', '3', 'bulan', 'puas', 'banget', 'sih', 'pake', 'skintific', '', 'kulit', 'bener', 'bener', 'hidrasi', 'banget', '', 'pake', 'doang', 'udah', 'kayak', 'kulit', 'sehat', 'banget', '', 'dipungkiri', 'produk', 'bagussss']"
dinadahliana,25 - 29,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Gong sekaleee ~~Harganya memang termasuk mahal untuk kategori moisturizer, tapi produknya worth the price ðŸ‘ŒTekstur gel creamy, di apply di kulit langsung meleleh dan berasa banget bikin lembab. Awal pakai memang terasa berat dan sumuk, tapi setelah 3-7 hari pakai terasa banget enaknya. Setelah pakai pelembab ini, minyak di kulitku juga jadi lebih kekontrol. LuvðŸ«¶Karena teksturnua yang ringan, pelembab ini juga cocok banget dipakai di pagi maupun malam hari. Di pagi hari ga bikin berat, di malam hari bikin kulit terasa lembab paripurna ðŸ¥",Asli,"['Gong', 'sekaleee', '~~Harganya', 'memang', 'termasuk', 'mahal', 'untuk', 'kategori', 'moisturizer', ',', 'tapi', 'produknya', 'worth', 'the', 'price', 'ðŸ‘ŒTekstur', 'gel', 'creamy', ',', 'di', 'apply', 'di', 'kulit', 'langsung', 'meleleh', 'dan', 'berasa', 'banget', 'bikin', 'lembab', '.', 'Awal', 'pakai', 'memang', 'terasa', 'berat', 'dan', 'sumuk', ',', 'tapi', 'setelah', '3', '-', '7', 'hari', 'pakai', 'terasa', 'banget', 'enaknya', '.', 'Setelah', 'pakai', 'pelembab', 'ini', ',', 'minyak', 'di', 'kulitku', 'juga', 'jadi', 'lebih', 'kekontrol', '.', 'LuvðŸ«¶Karena', 'teksturnua', 'yang', 'ringan', ',', 'pelembab', 'ini', 'juga', 'cocok', 'banget', 'dipakai', 'di', 'pagi', 'maupun', 'malam', 'hari', '.', 'Di', 'pagi', 'hari', 'ga', 'bikin', 'berat', ',', 'di', 'malam', 'hari', 'bikin', 'kulit', 'terasa', 'lembab', 'paripurna', 'ðŸ\x90¥']","['Gong', 'sekaleee', '~~Harganya', 'mahal', 'kategori', 'moisturizer', ',', 'produknya', 'worth', 'the', 'price', 'ðŸ‘ŒTekstur', 'gel', 'creamy', ',', 'apply', 'kulit', 'langsung', 'meleleh', 'berasa', 'banget', 'bikin', 'lembab', '.', 'pakai', 'berat', 'sumuk', ',', '3', '-', '7', 'pakai', 'banget', 'enaknya', '.', 'pakai', 'pelembab', ',', 'minyak', 'kulitku', 'kekontrol', '.', 'LuvðŸ«¶Karena', 'teksturnua', 'ringan', ',', 'pelembab', 'cocok', 'banget', 'dipakai', 'pagi', 'malam', '.', 'pagi', 'ga', 'bikin', 'berat', ',', 'malam', 'bikin', 'kulit', 'lembab', 'paripurna', 'ðŸ\x90¥']","['gong', 'sekaleee', 'harga', 'mahal', 'kategori', 'moisturizer', '', 'produk', 'worth', 'the', 'price', 'tekstur', 'gel', 'creamy', '', 'apply', 'kulit', 'langsung', 'leleh', 'asa', 'banget', 'bikin', 'lembab', '', 'pakai', 'berat', 'sumuk', '', '3', '-', '7', 'pakai', 'banget', 'enak', '', 'pakai', 'pelembab', '', 'minyak', 'kulit', 'kontrol', '', 'luv karena', 'teksturnua', 'ringan', '', 'pelembab', 'cocok', 'banget', 'pakai', 'pagi', 'malam', '', 'pagi', 'ga', 'bikin', 'berat', '', 'malam', 'bikin', 'kulit', 'lembab', 'paripurna', '']"
elss_els,25 - 29,"Dry, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Produk ini cukup ampuh menghidrasi kulit keringku. Baru pake sekitar satu bulan dan cocok. Aku pakainya pagi dan malam. teksturnya ringan,cair dan gampang meresap. Wanginya juga bukan yang tajam banget.Ini produk bakalan ku repurchase lagi deh.",Asli,"['Produk', 'ini', 'cukup', 'ampuh', 'menghidrasi', 'kulit', 'keringku', '.', 'Baru', 'pake', 'sekitar', 'satu', 'bulan', 'dan', 'cocok', '.', 'Aku', 'pakainya', 'pagi', 'dan', 'malam', '.', 'teksturnya', 'ringan', ',', 'cair', 'dan', 'gampang', 'meresap', '.', 'Wanginya', 'juga', 'bukan', 'yang', 'tajam', 'banget', '.', 'Ini', 'produk', 'bakalan', 'ku', 'repurchase', 'lagi', 'deh', '.']","['Produk', 'ampuh', 'menghidrasi', 'kulit', 'keringku', '.', 'pake', 'cocok', '.', 'pakainya', 'pagi', 'malam', '.', 'teksturnya', 'ringan', ',', 'cair', 'gampang', 'meresap', '.', 'Wanginya', 'tajam', 'banget', '.', 'produk', 'ku', 'repurchase', 'deh', '.']","['produk', 'ampuh', 'hidrasi', 'kulit', 'kering', '', 'pake', 'cocok', '', 'pakai', 'pagi', 'malam', '', 'tekstur', 'ringan', '', 'cair', 'gampang', 'resap', '', 'wangi', 'tajam', 'banget', '', 'produk', 'ku', 'repurchase', 'deh', '']"
puttiaisyah,25 - 29,"Combination, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"Moisturiser yg wajib ada di rak skincare. Kalo kulit lg rewel karena ga cocok sama produk baru, langsung ku aplikasiin ini pagi, siang, malem (of course tetep pake sunscreen di pagi&siang hari) dan 2 harian membaik. Cuma untuk ngurangin jerawat kayanya ga terlalu ngefek. Awal2 beli yg acne set, itu b aja jerawatku tidak ada perubahan apa2. Tapi pas dicombo sama serum brightening series, mantul juga. Tipe kulitku oily dan sensitif. So far sihh ini masuk ke moisturiser teraman untuk dilayer sama serum apapun di pagi/siang/malem. Saranku sih better langsung beli yg size jumbo 80g karena lebih hemat dan lebih higienis daripada yg jar.",Asli,"['Moisturiser', 'yg', 'wajib', 'ada', 'di', 'rak', 'skincare', '.', 'Kalo', 'kulit', 'lg', 'rewel', 'karena', 'ga', 'cocok', 'sama', 'produk', 'baru', ',', 'langsung', 'ku', 'aplikasiin', 'ini', 'pagi', ',', 'siang', ',', 'malem', '(', 'of', 'course', 'tetep', 'pake', 'sunscreen', 'di', 'pagi&siang', 'hari', ')', 'dan', '2', 'harian', 'membaik', '.', 'Cuma', 'untuk', 'ngurangin', 'jerawat', 'kayanya', 'ga', 'terlalu', 'ngefek', '.', 'Awal2', 'beli', 'yg', 'acne', 'set', ',', 'itu', 'b', 'aja', 'jerawatku', 'tidak', 'ada', 'perubahan', 'apa2', '.', 'Tapi', 'pas', 'dicombo', 'sama', 'serum', 'brightening', 'series', ',', 'mantul', 'juga', '.', 'Tipe', 'kulitku', 'oily', 'dan', 'sensitif', '.', 'So', 'far', 'sihh', 'ini', 'masuk', 'ke', 'moisturiser', 'teraman', 'untuk', 'dilayer', 'sama', 'serum', 'apapun', 'di', 'pagi', '/', 'siang', '/', 'malem', '.', 'Saranku', 'sih', 'better', 'langsung', 'beli', 'yg', 'size', 'jumbo', '80', 'g', 'karena', 'lebih', 'hemat', 'dan', 'lebih', 'higienis', 'daripada', 'yg', 'jar', '.']","['Moisturiser', 'yg', 'wajib', 'rak', 'skincare', '.', 'Kalo', 'kulit', 'lg', 'rewel', 'ga', 'cocok', 'produk', ',', 'langsung', 'ku', 'aplikasiin', 'pagi', ',', 'siang', ',', 'malem', '(', 'of', 'course', 'tetep', 'pake', 'sunscreen', 'pagi&siang', ')', '2', 'harian', 'membaik', '.', 'ngurangin', 'jerawat', 'kayanya', 'ga', 'ngefek', '.', 'Awal2', 'beli', 'yg', 'acne', 'set', ',', 'b', 'aja', 'jerawatku', 'perubahan', 'apa2', '.', 'pas', 'dicombo', 'serum', 'brightening', 'series', ',', 'mantul', '.', 'Tipe', 'kulitku', 'oily', 'sensitif', '.', 'So', 'far', 'sihh', 'masuk', 'moisturiser', 'teraman', 'dilayer', 'serum', 'apapun', 'pagi', '/', 'siang', '/', 'malem', '.', 'Saranku', 'sih', 'better', 'langsung', 'beli', 'yg', 'size', 'jumbo', '80', 'g', 'hemat', 'higienis', 'yg', 'jar', '.']","['moisturiser', 'yg', 'wajib', 'rak', 'skincare', '', 'kalo', 'kulit', 'lg', 'rewel', 'ga', 'cocok', 'produk', '', 'langsung', 'ku', 'aplikasiin', 'pagi', '', 'siang', '', 'malem', '', 'of', 'course', 'tetep', 'pake', 'sunscreen', 'pagi siang', '', '2', 'hari', 'baik', '', 'ngurangin', 'jerawat', 'kaya', 'ga', 'ngefek', '', 'awal2', 'beli', 'yg', 'acne', 'set', '', 'b', 'aja', 'jerawat', 'ubah', 'apa2', '', 'pas', 'dicombo', 'serum', 'brightening', 'series', '', 'mantul', '', 'tipe', 'kulit', 'oily', 'sensitif', '', 'so', 'far', 'sihh', 'masuk', 'moisturiser', 'ram', 'layer', 'serum', 'apa', 'pagi', '', 'siang', '', 'malem', '', 'saran', 'sih', 'better', 'langsung', 'beli', 'yg', 'size', 'jumbo', '80', 'g', 'hemat', 'higienis', 'yg', 'jar', '']"
azahrabenita,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"agak telat nyobain ini di 2024, dan awalnya cukup skeptis ini beneran worth the hype apa cm viral doang, ehh ganyangka ternyata emang cocok di kulitkuðŸ˜­ðŸ«¶ðŸ» kulitku oily, jd agak tricky kalo cari moisturizer, biasanya selalu cocok sama punya skingame yg dailykind moisturizer, karena tipe nya watery gel dan langsung melt pas di apply, sama kyak skintific ini. aku cm pake 1x di malam hari dan paginya gak bikin muka gerah. yg bikin amaze tuh kulit lg kering2nya, banyak sel kulit mati, iseng pake ini rutin jd kerasa lembab dan lembut. repurchase? YESS",Asli,"['agak', 'telat', 'nyobain', 'ini', 'di', '2024', ',', 'dan', 'awalnya', 'cukup', 'skeptis', 'ini', 'beneran', 'worth', 'the', 'hype', 'apa', 'cm', 'viral', 'doang', ',', 'ehh', 'ganyangka', 'ternyata', 'emang', 'cocok', 'di', 'kulitkuðŸ˜\xadðŸ«¶ðŸ\x8f', '»', 'kulitku', 'oily', ',', 'jd', 'agak', 'tricky', 'kalo', 'cari', 'moisturizer', ',', 'biasanya', 'selalu', 'cocok', 'sama', 'punya', 'skingame', 'yg', 'dailykind', 'moisturizer', ',', 'karena', 'tipe', 'nya', 'watery', 'gel', 'dan', 'langsung', 'melt', 'pas', 'di', 'apply', ',', 'sama', 'kyak', 'skintific', 'ini', '.', 'aku', 'cm', 'pake', '1x', 'di', 'malam', 'hari', 'dan', 'paginya', 'gak', 'bikin', 'muka', 'gerah', '.', 'yg', 'bikin', 'amaze', 'tuh', 'kulit', 'lg', 'kering2nya', ',', 'banyak', 'sel', 'kulit', 'mati', ',', 'iseng', 'pake', 'ini', 'rutin', 'jd', 'kerasa', 'lembab', 'dan', 'lembut', '.', 'repurchase', '?', 'YESS']","['telat', 'nyobain', '2024', ',', 'skeptis', 'beneran', 'worth', 'the', 'hype', 'cm', 'viral', 'doang', ',', 'ehh', 'ganyangka', 'emang', 'cocok', 'kulitkuðŸ˜\xadðŸ«¶ðŸ\x8f', '»', 'kulitku', 'oily', ',', 'jd', 'tricky', 'kalo', 'cari', 'moisturizer', ',', 'cocok', 'skingame', 'yg', 'dailykind', 'moisturizer', ',', 'tipe', 'nya', 'watery', 'gel', 'langsung', 'melt', 'pas', 'apply', ',', 'kyak', 'skintific', '.', 'cm', 'pake', '1x', 'malam', 'paginya', 'gak', 'bikin', 'muka', 'gerah', '.', 'yg', 'bikin', 'amaze', 'tuh', 'kulit', 'lg', 'kering2nya', ',', 'sel', 'kulit', 'mati', ',', 'iseng', 'pake', 'rutin', 'jd', 'kerasa', 'lembab', 'lembut', '.', 'repurchase', '?', 'YESS']","['telat', 'nyobain', '2024', '', 'skeptis', 'beneran', 'worth', 'the', 'hype', 'cm', 'viral', 'doang', '', 'ehh', 'ganyangka', 'emang', 'cocok', 'kulit', '', 'kulit', 'oily', '', 'jd', 'tricky', 'kalo', 'cari', 'moisturizer', '', 'cocok', 'skingame', 'yg', 'dailykind', 'moisturizer', '', 'tipe', 'nya', 'watery', 'gel', 'langsung', 'melt', 'pas', 'apply', '', 'kyak', 'skintific', '', 'cm', 'pake', '1x', 'malam', 'pagi', 'gak', 'bikin', 'muka', 'gerah', '', 'yg', 'bikin', 'amaze', 'tuh', 'kulit', 'lg', 'kering2nya', '', 'sel', 'kulit', 'mati', '', 'iseng', 'pake', 'rutin', 'jd', 'rasa', 'lembab', 'lembut', '', 'repurchase', '', 'yess']"
ichakarr,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Tiktok Shop,5,Ya,"one step solution for any problem!!! dia bisa banget membantu kulit yang lagi iritasi kemerahan, memperbaiki skin barrier, menghaluskan wajah, teksturnya ringan dan gak lengket, dan juga bisa banget melembabkan dan menghidrasi kulitâ¤ï¸â¤ï¸",Asli,"['one', 'step', 'solution', 'for', 'any', 'problem', '!', '!', '!', 'dia', 'bisa', 'banget', 'membantu', 'kulit', 'yang', 'lagi', 'iritasi', 'kemerahan', ',', 'memperbaiki', 'skin', 'barrier', ',', 'menghaluskan', 'wajah', ',', 'teksturnya', 'ringan', 'dan', 'gak', 'lengket', ',', 'dan', 'juga', 'bisa', 'banget', 'melembabkan', 'dan', 'menghidrasi', 'kulitâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8f']","['one', 'step', 'solution', 'for', 'any', 'problem', '!', '!', '!', 'banget', 'membantu', 'kulit', 'iritasi', 'kemerahan', ',', 'memperbaiki', 'skin', 'barrier', ',', 'menghaluskan', 'wajah', ',', 'teksturnya', 'ringan', 'gak', 'lengket', ',', 'banget', 'melembabkan', 'menghidrasi', 'kulitâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8f']","['one', 'step', 'solution', 'for', 'any', 'problem', '', '', '', 'banget', 'bantu', 'kulit', 'iritasi', 'merah', '', 'baik', 'skin', 'barrier', '', 'halus', 'wajah', '', 'tekstur', 'ringan', 'gak', 'lengket', '', 'banget', 'melembabkan', 'hidrasi', 'kulit']"
adindafayza,19 - 24,"Combination, Light, Neutral",6 months - 1 year,Shopee,4,Ya,"Sejauh ini cuma moisturizer ini yang cocok dimuka kuu. Skin typeku kombinasi acne prone dan aku pake produknyajuga secukupnya aja udah cukup melembabkan. Kebetulan aku pake yang ukuran jumbonya (80 gram), sayangnya untuk harga 200k-300k lumayan pricey sih :( Tapi jujur ini bagus bgtt, bingung aja pas mau repurchasenyaðŸ˜­",Asli,"['Sejauh', 'ini', 'cuma', 'moisturizer', 'ini', 'yang', 'cocok', 'dimuka', 'kuu', '.', 'Skin', 'typeku', 'kombinasi', 'acne', 'prone', 'dan', 'aku', 'pake', 'produknyajuga', 'secukupnya', 'aja', 'udah', 'cukup', 'melembabkan', '.', 'Kebetulan', 'aku', 'pake', 'yang', 'ukuran', 'jumbonya', '(', '80', 'gram', ')', ',', 'sayangnya', 'untuk', 'harga', '200k-300k', 'lumayan', 'pricey', 'sih', ':(', 'Tapi', 'jujur', 'ini', 'bagus', 'bgtt', ',', 'bingung', 'aja', 'pas', 'mau', 'repurchasenyaðŸ˜\xad']","['moisturizer', 'cocok', 'dimuka', 'kuu', '.', 'Skin', 'typeku', 'kombinasi', 'acne', 'prone', 'pake', 'produknyajuga', 'aja', 'udah', 'melembabkan', '.', 'pake', 'ukuran', 'jumbonya', '(', '80', 'gram', ')', ',', 'sayangnya', 'harga', '200k-300k', 'lumayan', 'pricey', 'sih', ':(', 'jujur', 'bagus', 'bgtt', ',', 'bingung', 'aja', 'pas', 'repurchasenyaðŸ˜\xad']","['moisturizer', 'cocok', 'muka', 'kuu', '', 'skin', 'typeku', 'kombinasi', 'acne', 'prone', 'pake', 'produknyajuga', 'aja', 'udah', 'melembabkan', '', 'pake', 'ukur', 'jumbo', '', '80', 'gram', '', '', 'sayang', 'harga', '200k-300k', 'lumayan', 'pricey', 'sih', '', 'jujur', 'bagus', 'bgtt', '', 'bingung', 'aja', 'pas', 'repurchasenya']"
