Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status
diahayuoktavianti,30 - 34,"Dry, Medium Dark, Neutral",1 week - 1 month,Shopee,5,Ya,moisturizer kecintaan.kulit jadi moist kenyal dan plumpy kaya squishypakai dimalam hari bangun bangun mood karna kulit nya lembut tidak gradakan. sangat senang rasanya. sukses terus skintific semoga bisa terus terjaga kualitas produknya,Palsu
fitrafiands,30 - 34,"Combination, Light, Neutral",1 week - 1 month,Shopee,5,Ya,"Kualitas produk sangat bagus, cocok di kulit aku yang sangat sensitif. Selain itu dapat memperbaiki skin barier dan menghidrasi kulit. Kulit menjadi lembut dan kenyal. Tidak lengket dan mudah menyerap kulit karena teksturnya yang watery.",Asli
Lisast30,19 - 24,"Oily, Medium Light, Neutral",6 months - 1 year,Tokopedia,5,Ya,Sumpaaaahhhhh ini mooooiiisssttttt terdebesssss guaaa sepanjang masaaaaaaa bnerâ€ ngelembapin dan bnerâ€ bisa bikkn skin pflumpyyyyyyyy sumpaaahhh dan ini bnerâ€ teracuni dari temen awalnyaaa dan jadi repuches berkaliâ€ luvvv bgtttttt,Asli
indah30007,18 and Under,Unknown,1 month - 3 months,Female Daily Studio,5,Ya,Produk ini bagus banget xocok di kulit saya..kerenn bagus..besok saya order lagi.Produk ini bagus banget xocok di kulit saya..kerenn bagus..besok saya order lagiProduk ini bagus banget xocok di kulit saya..kerenn bagus..besok saya order lagi,Palsu
Febriyanti_sh,25 - 29,"Dry, Medium Light, Cool",3 months - 6 months,Female Daily Studio,5,Ya,"Aku suka banget produk ini sangat bagus, dan testurnya lembut bangetttt pokoknya kalian harus coba deh soalnya sebagus itu, kan gak ketergantungan lah pokoknya kalian harus coba bagus gak bosan bosan pakek ini harus coba ya gaes harus coba ya",Asli
incerahmayantii,25 - 29,"Dry, Medium Light, Neutral",More than 1 year,FD Flash Sale,5,Ya,"Moisturizer yang sangat cocok untuk semua jenis dan manfaat sangat banyak, buat kulit normal, kombinasi, jerawat,, bisa juga buat kulit yang kemerahan, dan meredam kemerahan, bagus banget dan sangat cocok dan pastinya bagus buat semua jenis kulit",Palsu
Ptrsmilea,19 - 24,"Oily, Medium Light, Neutral",3 months - 6 months,Shopee,5,Tidak,"Beli ini karena iseng dan penasaran sama sama review review di platform media sosial dan claimnya sesuai sama yang seliweran di media sosial, make ini 2 minggu kulit beneran plumpy, glowing, sehat, lembuttt, bagus banget! minus nya mahal banget dengan isi yang sesedikit itu. Untuk beli lagi aku rasa no karena overprice :')",Asli
LusianaKusuma,25 - 29,"Normal, Medium Light, Neutral",1 week - 1 month,Tokopedia,5,Ya,"kulit saya sensitif,tp semenjak pakai skintific bagus dan lama kelamaan tidak sensitif lg memudar bekas jerawat,recommed bgt sih apalagi skintif untuk kalangan remajapun masuk unisex,dia juga ringan dimuka jd gampang ngeblannya baguss bgt aslii",Palsu
fadillaptri_,19 - 24,"Dry, Medium Dark, Neutral",6 months - 1 year,Shopee,5,Ya,"Penyelamat kulit kering tiada duaaa! Pake ini udah berkali-kali bener bener hempas semua serum & beralih ke moisturizer ini aja udah cukup banget buat kulit makin sehat, worth the price! Ga pernah absen buat repurchase luv ittt skintific",Asli
Aprilliasty,19 - 24,"Normal, Medium, Neutral",1 month - 3 months,Shopee,5,Ya,Local brand moisturizer yang bagus banget buat memperbaiki skin barrier yg rusak ataupun ngejaga skin barrier kulit wajah. Moisturizer ini bagus bgt buat ngelembapin kulit wajah dan bikin kulit wajah berasa lebih sehat. Bonus klo rutin pakai ini bikin muka jadi glowing,Asli
syania_marlinda,25 - 29,"Oily, Medium Light, Neutral",3 months - 6 months,Female Daily Studio,5,Ya,"Bagus banget, bikin tampak kulit lebih cerah kenyal dan cocok banget, aku udh pake ini dan ga berpaling ke yang lain ini paling bagus bgt buat kulit, ga bikin kulit kering, bikin kulit tampak lebih cerah dan natural, pokonya yg belom cobain harus cobain sih good bangetðŸ‘ðŸ‘",Asli
_Romasly_,25 - 29,"Normal, Medium Dark, Cool",1 month - 3 months,Shopee,4,Ya,Moisturizer ini cocok untuk semua jenis kulit dan finishnnga itu bikin kulit lebih lembab dan sehat. Pas lagi breakout juga bagus banget ngecalming kulitku banget. wajib Repurchase sih!! bikin glowing bgt buat melembabkan ok bgt buat kulit kering dan sensitif highly reccomend this one si worth it bgt apalagi yg skin barrier nya bermasalah bs coba ini,Asli
Bellanitaps,25 - 29,"Oily, Medium, Warm",3 months - 6 months,Shopee,5,Ya,"Pertama beli karna viral banget waktu itu, buat jenis wajah yg oily/berminyak masih aman sih pake skintific karna ngga bikin tambah minyakan dimuka hehehe bener-bener bagus banget sih skintific ini ngga perlu diraguin lagi. Makeup juga jadi nempel banget.",Asli
diniistikomah,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Brand Website,5,Ya,"bagus banget buat kulit aku yang tipenya kering dan sensitif, so loff produk skintific yang satu ini ðŸ’“ sejauh ini cocok banget pake produk ini, belum ada yang bisa ngalahin, walopun harganya lumayan tapi ini worth to buy karna produknya juga sebagus itu",Asli
Nilamsakiyahdewi,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,FD Flash Sale,5,Ya,Suka banget kulit wajah aku super duper lembab poll udah gitu memperbaikin skin barrier aku banget bahkan untuk skin prape aja gabikin makeupngekrek atau crecy tetep flawlesh poll secinta itu aku sama moisturizer Skintific luve so much muach,Asli
Imanuel_,19 - 24,"Oily, Medium, Neutral",1 month - 3 months,Brand Website,5,Ya,"Moisturizer Skintific menawarkan dua varian unggulan: Skintific 3x Acid dan Skintific 5x Ceramide. Keduanya memiliki tekstur gel yang ringan, mudah meresap, dan tidak lengket di kulit. Skintific 3x Acid dikenal efektif untuk mengatasi jerawat dan kemerahan, sedangkan Skintific 5x Ceramide fokus pada perbaikan skin barrier dengan kandungan ceramide yang kuat. Banyak pengguna melaporkan kulit terasa lebih lembap dan sehat setelah penggunaan rutin. Formulasi bebas paraben dan sulfat membuatnya aman untuk kulit sensitif, menjadikannya pilihan menarik bagi pencinta skincare",Palsu
sriyatun01,40 - 44,"Combination, Light, Cool",6 months - 1 year,FD Flash Sale,5,Ya,"membantu mengatasi kekeringan dan kulit mengelupas, sementara bagi kulit berminyak, ada varian ringan yang tidak menyebabkan penyumbatan pori. Banyak moisturizer yang juga mengandung bahan tambahan seperti SPF untuk perlindungan dari sinar matahari, atau anti-aging seperti retinol dan vitamin C yang bermanfaat untuk meremajakan kulit.",Palsu
rachmamutiara,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Watson,5,Ya,"bangus bgt untuk memperbaiki dan melindungi skin barrier dengan menjaga kelembaban dan melindungi kulit dari faktor eksternal. produk ini paling recommended sih buat aku dari varian skincare nya yah. dia melembabkan, gak bikin breakout, nenangin kulit aku juga dan ringan.",Asli
Amayyyy,19 - 24,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Kereennnn banget bener-bener moisturaizer yang bener-bener bisa ngebantu kulit kering aku bisa jadi Semois sekarang, harga dan kualitas bener-bener sefrekuensi alias bener-bener worthit buat kalian beli, dan packagingnya juga aman banget untuk dibawa traveling.",Asli
ayeena_syifa,19 - 24,"Oily, Medium, Neutral",6 months - 1 year,Tiktok Shop,5,Ya,"Saya memiliki skin barrier yang rusak, kemudian saya melihat berbagai riview dari tiktok dan saya mencoba produk ini, ternyata emang benar produk ini sangat memperbaiki skin barrier dan mengurangi beruntusan. Produk sangat recommended",Palsu
yuelathira,19 - 24,"Normal, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Moisturizer Skintific efektif melembapkan kulit tanpa terasa lengket. Mengandung ceramide dan bahan alami, cocok untuk kulit sensitif. Hasilnya kulit terasa lembut, sehat, dan terhidrasi maksimal. Aku udh repurchase berkali kali!",Asli
lae24,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Female Daily Studio,5,Ya,"Siapa si yang ga tau moizturizer yang satu ini udah viral dimana mana sosmed, ecommers karena ga cuman viral guys produknya juga bagus untuk mengobati skinbarier kulit, melembabkan, memperbaiki tekstur muka. Ga perlu diraguin lagi deh skintific moizturizer biru nya kecintaan masyarakat indonesia",Asli
Mila_402,19 - 24,"Combination, Medium Dark, Warm",3 months - 6 months,Shopee,5,Ya,"Moist yg beneran bikin lembab kulit, di pake dikit aja udah lembab.. repurchase ke 3x, super duper good quality, tasya farasya approve ga pernah gagal, recomended buat kulit kering dan berminyak kayak aku lovelyyyyyyyyyyyyyyyyyyyyyyy",Asli
Hope711,25 - 29,"Normal, Medium, Neutral",3 months - 6 months,XBeauty by Female Daily,5,Ya,Pertama kali saya coba productnya muda dipakai dan membuat muka saya lebih bersih/cerah dibanding sebelumnya. Waktu itu saya beli productnya di xbeauty awal tahun 2024 dimana tempat standnya skintifc muda di ketemui dan team sana baik dan ramah untuk nawar product tersebut.,Palsu
Sapitriamalia,25 - 29,"Oily, Medium, Neutral",1 week - 1 month,Female Daily Studio,5,Ya,"Skintific 5X Ceramide Barrier Repair Moisturizer adalah salah satu pelembap populer yang dikenal karena kemampuannya memperbaiki dan memperkuat skin barrier. Dengan formulanya yang ringan namun efektif, pelembap ini cocok untuk semua jenis kulit, termasuk kulit sensitif atau yang mengalami iritasi.Produk ini mengandung 5 jenis ceramide yang bekerja sinergis untuk mengunci kelembapan dan memperbaiki lapisan pelindung kulit. Selain itu, kandungannya diperkaya dengan bahan-bahan seperti hyaluronic acid untuk hidrasi mendalam, centella asiatica yang menenangkan kulit, serta peptide yang membantu meningkatkan elastisitas kulit. Kombinasi bahan-bahan ini membuat pelembap ini tidak hanya melembapkan tetapi juga memberikan manfaat tambahan untuk menjaga kesehatan kulit secara keseluruhan.Teksturnya ringan, cepat meresap, dan tidak meninggalkan rasa lengket, sehingga nyaman digunakan baik pada pagi maupun malam hari. Formulanya non-comedogenic, bebas alkohol, dan bebas pewangi, sehingga aman digunakan untuk kulit berjerawat atau sensitif.Dengan hasil akhir yang lembap, halus, dan nyaman, Skintific 5X Ceramide Barrier Repair Moisturizer sangat direkomendasikan bagi mereka yang mencari pelembap multifungsi untuk memperbaiki skin barrier sekaligus menjaga hidrasi kulit sepanjang hari.",Palsu
arfilauna,19 - 24,"Combination, Medium Light, Neutral",Less than 1 week,Female Daily Studio,5,Ya,Aku pakai produk moisturizer dari skintific ini sangat cocok banget kulit aku jadi lembab tidak kering dan ini skincare yg wajib banget bagi aku setelah sunscreen moist ini bikin kulit tidak keringgggggggg malah bikin kulit menjadi cerah dan berkilauðŸ˜»,Asli
nnadyapri,19 - 24,"Oily, Medium, Cool",1 week - 1 month,Shopee,5,Ya,"So far pake ini wajah aku better, lembab. Dipake tiap malem paginga wajah enakeun. Next akan beli yg full size nya kemarin cumaa beli travel size.. Highly recomend buat kamu yg dry skin sihh coba pakai ini yaa. Di aku yg oily jugaa work. Mantap â™¥ï¸",Asli
DonitaNathasya_05,19 - 24,"Combination, Light, Cool",6 months - 1 year,Female Daily Event,5,Ya,"Produk ini hadir dalam kemasan tube yang praktis, sehingga memudahkan pengambilan produk tanpa takut tumpah atau terlalu banyak keluar. Kemasan ini juga cukup higienis dan mudah dibawa bepergian. memiliki tekstur krim yang ringan namun cukup kaya dan mudah meresap ke dalam kulit",Palsu
riskapanda1,18 and Under,"Dry, Medium Light, Cool",More than 1 year,Shopee,5,Ya,"Sangat melembabkan kulit saya yang kering dengan sekali pakai, cepat meredakan jerawat, saat diaplikasikan dengan powder tidak lengket. Tidak perih di mata saat menggunakannya. Bisa digunakan kapan saja. Membuat saya ingin beli lagi",Asli
reinaa_,19 - 24,"Dry, Medium Light, Neutral",1 month - 3 months,FD Flash Sale,5,Ya,"Pelembap ini punya tekstur ringan, cepat meresap, dan bikin kulit lembap tanpa rasa lengket. Kandungan **5x Ceramide** memperkuat skin barrier, ditambah **Hyaluronic Acid** untuk hidrasi maksimal. Cocok banget untuk semua jenis kulit, termasuk yang sensitif.Setelah pakai, kulit jadi terasa halus, kenyal, dan glowing sehat. Plus, kemasannya praktis dan higienis. Kalau cari pelembap yang melembapkan sekaligus melindungi kulit, ini pilihan yang pas! ðŸŒŸ",Asli
Mirasbt,25 - 29,"Normal, Medium Light, Neutral",6 months - 1 year,Female Daily Studio,5,Ya,"Setelah pemakaian produk ini, skin barier wajah saya menjadi sangat sehat dan bagus, kulit lebih plumpy, cerah, dan lembab. Recommended utk yg sedang memperbaiki skin barier,dan kulit kering, wajib di beli dan di stok sihhhh... Wajib banget",Palsu
noviptrayu_,25 - 29,"Combination, Medium, Neutral",1 month - 3 months,Tiktok Shop,5,Ya,"Bagus bikin cerah terbukti secara klinis membantu mencerahkan. Produk ini juga tidak lengket atau berminyak, yang berarti sangat mudah digunakan. juga berfungsi sebagai pelembab, dan bagus untuk pemula dan base makeup lengket dan berminyak",Palsu
suciiiap,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,Melembabkan dan mencerahkan kulit dan bikin kulit lebih jadi plumpy. Apalagi digunakan pada malam hari keesokannya muka cerah dan lembab dan ketika menggunakan make up terlihat lembab dan make up sangat nempel dikulit dan jadi bagus dan makeup tahan lama,Palsu
rizalfadillh,19 - 24,"Oily, Medium Dark, Warm",1 week - 1 month,Tokopedia,5,Ya,"Salah satu moisturizer penyelamat aku kalau muka lagi kemerahan dan sensitif, aku juga selalu rekomendasiin moust ini ke semua orang, selain bagus untuk skin barier moist ini juga bisa untuk mencerahkan , cocok untuk semua jenis kulit apalagi kulit yang lagi sensitif",Asli
Aldhiavinita,25 - 29,"Combination, Medium Dark, Neutral",1 month - 3 months,Shopee,4,Ya,"Cobain beli pas lagi flash sale shoope di official account, lumayan dapat harga lebih miring. Ringan dipakai dimuka, malam nya pakai ini pas pagi muka kerasa lebih plump, sangat membantu untuk kulit muka yang lagi kering atau lagi breakout â˜ºï¸",Asli
Sugiyati17,45 and Above,"Combination, Medium Dark, Warm",1 week - 1 month,Lazada,5,Ya,"Skintific 5x Ceramide Barrier Repair Moisture ini cocok banget sih di kulit wajah aku yang kering, karena tingkat kelembapannya bener-bener oke. Efeknya setelah pemakaian rutin adalah wajah jadi lebih kenyal, tekstur jadi lebih halus, dan skin barrier juga semakin membaik",Asli
vanessaoctaviaaa,25 - 29,"Combination, Medium Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Sejauh ini gaada keluhan apa apa udah make 1 tahunan dan rasanya kulit makin glowing, kalo jerawat gapernah sampe bopeng gradakan di jidat dagu ngga ada, lebih disafanin kalo kalian pake tonnernya juga buat hasil yang lebih maksimal gitu.",Asli
fiaazahra,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Brand Website,5,Ya,"mositurizer kesukaanku banget karena bener2 buat tekstur muka balik lagi ke kulitku yang alus sehat glowing, sebelum pake ini susah banget ngembaliin tekstur sikn barier ku bagus lagi tapi abis pake ini bener2 bikin kulit kenyel + alus lagi",Asli
kayinappu,19 - 24,"Combination, Light, Cool",More than 1 year,Shopee,5,Ya,"love this moisture! sangat ringan, melembabkan, memperbaiki skin barier juga, cocok untuk kulit sensitif, aku udh habis ber jar jar sangat bagus. harga terjangkau kalian harus coba guys rekomen bisa beli dimana aja. tersedia yg big size juga",Palsu
Novanuriasafitri,19 - 24,"Normal, Medium, Neutral",Less than 1 week,Female Daily Studio,5,Ya,"Skintific dikenal dengan produk berbasis sains seperti 5X Ceramide Moisturizer, yang efektif memperbaiki skin barrier dan melembapkan kulit. Formulanya ringan, cocok untuk kulit sensitif, meski harganya sedikit premium. Ideal untuk hasil maksimal dalam perawatan kulit.",Palsu
Hemas,25 - 29,"Combination, Light, Cool",6 months - 1 year,Tiktok Shop,5,Ya,"Produk paling recommended sih buat aku dari varian skincare nya yah. Dia Melembabkan, gak bikin breakout, nenangin kulit aku juga dan ringan. Tapi sayang harganya lumayan mahal aja isi nya 30ml buat aku kaum menang mendang mending. Aku dah co 2x disini.",Asli
lisapitr,19 - 24,"Combination, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"moist ini super bagus banget but muka aku yang lagi memperbaiki skin barier, 1 minggu pemakaian, bruntusan aku langsung ilang, terus kulit muka aku juga ceehan banget semenjak pake produk ini, llembut dan adem banget di pake di muka, ga pernah nyesel beli sama semua produk dari skintific, love banget skintific",Asli
Deaanjeli07,19 - 24,"Dry, Medium, Neutral",6 months - 1 year,Female Daily Studio,5,Ya,"Sangat membantu melembabkan untuk kulit saya yang acne dan kering ini dalam proses pelembapan, dengan teknologi 5X Ceramide, yang merupakan gabungan 5 jenis Ceramide untuk melembabkan secara mendalam dan untuk memperkuat lapisan kulit.",Asli
khoirunisanis,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"super duper ngelembapin muka aku dan bikin skinbarrier aku jadi balik ke good condition super sukaakkk, karena muka aku tipe combination yang sebagian kering sebagian berminyak, moist ini cocok banget di wajah aku, pokoknya bakal repurchase terus dehh",Asli
Raraa1206,25 - 29,Unknown,3 months - 6 months,Instagram,5,Ya,"Moisture paling bagus sepanjang masa, tidak bikin jerawatan, cocok di kulit, benar-benar melembabkan kulit, harga terjangkau, product halal, selalu repeat order untuk menjadi moisturuzer andalan untuk daily ataupun pada saat travelling.",Palsu
nidakhayyiratun,19 - 24,"Normal, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"Salah satu moisttt yang menyelematkan aku dari kemerahan yang meradangg, kadang kalau muka lagi ngamukk pastii andalan aku adalah moistt inii, superr bagus bangett ga bikinn lengket di kulit, superrr moistt banget, cocok untuk semua jenis kulit",Asli
sarahnurus,19 - 24,"Normal, Medium Light, Cool",1 month - 3 months,Shopee,5,Ya,"moisturizer yang cocok banget untuk barrier skin, jadi dia bagus buat melembabkan wajah yang perlu di build dulu barrier nya. recommended buat kamu yang bingung mau pake moisturizer apa karena hasilnya bagus asal rutin dipakai nya setelah toner ya",Asli
ernyersen,25 - 29,Unknown,Less than 1 week,FD Flash Sale,5,Ya,"Produk sangat bagus,, cocok dikulit. Benar benar saya suka produk ini. Harga juga murah. Mudah didapat dimanapun, waktu sebelum pake produk ini kulit saya sensitif banget setelah saya gunakan produk ini bekas jerawat pun berkurang banyak",Palsu
Chintyapermata15,19 - 24,"Normal, Medium, Neutral",3 months - 6 months,Shopee,4,Ya,"Udah pernah cobain skintific moisturizer nya, cukup melembabkan di pagi hari kalau di gunakan sebelum tidur di malam hari.. harga segitu masih termasuk affordable untuk melembabkan kulit jadi terhidrasi lebih baik dan juga packagingnya oke",Asli
zalfafadya,19 - 24,"Normal, Medium Dark, Neutral",Less than 1 week,Female Daily Studio,5,Ya,"Produk ini memiliki kandungan 5X Ceramide yang mampu membantu memperbaiki skin barrier, melembapkan secara mendalam, dan melindungi kulit dari polusi serta sinar UV. Hasilnya, kulit terasa lebih halus, lembap, dan terhidrasi sepanjang hari. Formulanya juga cocok untuk kulit sensitif dan iritasi ringan",Palsu
Yunisembiring,25 - 29,"Oily, Medium, Warm",3 months - 6 months,Shopee,5,Ya,"awal beli karena lihat semua review beauty vlog, Bagus bgt produknya, harganya juga terjangkau, cocok untuk segal jenis kulit, hasilnya sesuai ekspetasi, cocok untuk beginer yang baru mau coba skincare, high recommed! harus beli pokoknya",Palsu
ciastephani,19 - 24,"Combination, Light, Cool",3 months - 6 months,FD Flash Sale,5,Ya,Sebelumnya karna bruntusan jdi try on nah cream ini berguna banget buat kalian yg punya skin sensitif tapi pengen bangettt banget bangey punya kulit yg aman dari jerawat dan merah merah. jujur aku recomended banget nih buat produk ini dari skjntific,Asli
Saskyaftr14,19 - 24,"Oily, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Pengemasan keren banget bubble wrapnya tebal, aman gak peyok sama sekali. Asli karena di toko skintific official yang ada shopemallnya gais. Teksturnya enak, semoga di kulit oily bakal cocok dan kadang masih suka jerawatan. Semoga bisa cocok dan berlangganan pake moist skintific",Asli
fiqoo_,19 - 24,"Dry, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"Akuu pake ini udah lamaa banget, untuk kulit muka dry to normal sangat recomended. Aku pernah make setelah muka breakout dari pantaii pun sangatt bagus untuk ngembaliin muka aku ke normal lagi. Aku selalu ditanyain sama mua karnaa kulit muka akuu bagus, dan ternyata diaa jugaa bilang rata2 klien diaa ngerecommend moia skintificc ini jugaa.. akuu udahh habiss berjar jar worth to buy bgt pokonyaa",Asli
Desyp_06,19 - 24,"Combination, Medium, Neutral",1 month - 3 months,Tiktok Shop,5,Ya,"Hasilnya bagus , mencerahkan, yang terpenting bikin glowing , sunscreennya juga the best banget , moisturizernya juga teksturnya enak dipakai langsung menyerap ke kulit bikin tekstur kulit jadi lebih lembut , pokoknya produk skintific bagus",Asli
Nataa,19 - 24,"Normal, Medium Light, Neutral",6 months - 1 year,Brand Website,5,Ya,"yang kulitnya gradakan bruntusan ayo merapat! skintific ini keren buangettt, tekstur nya lembutt, mudah meresapp, dan ringan! 1 tahun make ini bikin kulit aku lembut super lembut, no bruntusan lagi, dan glowing!! keren buanget produk ini dan mau restock lagii di JXB nanti, wait for me ya skintific! thankyouu udah nyiptain produk ini love banyak banget",Asli
allysatasya16,25 - 29,"Oily, Medium, Neutral",More than 1 year,Official Brand Store,5,Ya,"udah makai 4 jar dan Alhamdulillah membantu memperbaiki skin barrier ku, kulit kemerahan dan beruruntusan perlahan hilang, yah gk instant tp perlahan lah hehe , semoga cocok trus aja pakai moisturis skintific trus aamiin , thankyou skintific",Asli
